"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 26 20:33:41 CST 2022","Tue Jul 26 20:33:50 CST 2022","9917","package_pytest","test_operate_app","TestH7131","","","test_on_head[21-500]",""
"passed","Tue Jul 26 20:04:54 CST 2022","Tue Jul 26 20:05:01 CST 2022","7059","package_pytest","test_operate_app","TestH7131","","","test_on[7-500]",""
"passed","Tue Jul 26 20:13:28 CST 2022","Tue Jul 26 20:13:33 CST 2022","4784","package_pytest","test_operate_app","TestH7131","","","test_fan[11-500]",""
"passed","Tue Jul 26 20:54:47 CST 2022","Tue Jul 26 20:54:57 CST 2022","9482","package_pytest","test_operate_app","TestH7131","","","test_on[32-500]",""
"passed","Tue Jul 26 20:34:15 CST 2022","Tue Jul 26 20:34:22 CST 2022","7326","package_pytest","test_operate_app","TestH7131","","","test_off_lock[21-500]",""
"passed","Tue Jul 26 20:19:38 CST 2022","Tue Jul 26 20:19:45 CST 2022","6065","package_pytest","test_operate_app","TestH7131","","","test_off_head[14-500]",""
"passed","Tue Jul 26 20:58:30 CST 2022","Tue Jul 26 20:58:35 CST 2022","5106","package_pytest","test_operate_app","TestH7131","","","test_app_home[34-500]",""
"passed","Tue Jul 26 20:01:35 CST 2022","Tue Jul 26 20:01:44 CST 2022","9892","package_pytest","test_operate_app","TestH7131","","","test_on_head[5-500]",""
"passed","Tue Jul 26 21:04:33 CST 2022","Tue Jul 26 21:04:38 CST 2022","5127","package_pytest","test_operate_app","TestH7131","","","test_app_home[37-500]",""
"passed","Tue Jul 26 20:16:07 CST 2022","Tue Jul 26 20:16:14 CST 2022","6287","package_pytest","test_operate_app","TestH7131","","","test_off_lock[12-500]",""
"passed","Tue Jul 26 20:07:24 CST 2022","Tue Jul 26 20:07:28 CST 2022","3365","package_pytest","test_operate_app","TestH7131","","","test_auto[8-500]",""
"passed","Tue Jul 26 20:22:04 CST 2022","Tue Jul 26 20:22:12 CST 2022","7372","package_pytest","test_operate_app","TestH7131","","","test_off_lock[15-500]",""
"passed","Tue Jul 26 20:24:03 CST 2022","Tue Jul 26 20:24:11 CST 2022","7355","package_pytest","test_operate_app","TestH7131","","","test_off_lock[16-500]",""
"passed","Tue Jul 26 20:16:35 CST 2022","Tue Jul 26 20:16:48 CST 2022","12263","package_pytest","test_operate_app","TestH7131","","","test_off[13-500]",""
"passed","Tue Jul 26 20:39:55 CST 2022","Tue Jul 26 20:39:58 CST 2022","3404","package_pytest","test_operate_app","TestH7131","","","test_on_light[24-500]",""
"passed","Tue Jul 26 20:58:19 CST 2022","Tue Jul 26 20:58:25 CST 2022","5279","package_pytest","test_operate_app","TestH7131","","","test_off_show[33-500]",""
"passed","Tue Jul 26 20:49:24 CST 2022","Tue Jul 26 20:49:29 CST 2022","4697","package_pytest","test_operate_app","TestH7131","","","test_fan[29-500]",""
"passed","Tue Jul 26 20:51:14 CST 2022","Tue Jul 26 20:51:21 CST 2022","6257","package_pytest","test_operate_app","TestH7131","","","test_high[30-500]",""
"passed","Tue Jul 26 21:06:13 CST 2022","Tue Jul 26 21:06:20 CST 2022","7571","package_pytest","test_operate_app","TestH7131","","","test_show[37-500]",""
"passed","Tue Jul 26 20:15:56 CST 2022","Tue Jul 26 20:16:07 CST 2022","10906","package_pytest","test_operate_app","TestH7131","","","test_lock[12-500]",""
"passed","Tue Jul 26 21:15:41 CST 2022","Tue Jul 26 21:15:44 CST 2022","3546","package_pytest","test_operate_app","TestH7131","","","test_auto[42-500]",""
"passed","Tue Jul 26 20:03:31 CST 2022","Tue Jul 26 20:03:36 CST 2022","4756","package_pytest","test_operate_app","TestH7131","","","test_fan[6-500]",""
"passed","Tue Jul 26 20:33:35 CST 2022","Tue Jul 26 20:33:41 CST 2022","5190","package_pytest","test_operate_app","TestH7131","","","test_fan[21-500]",""
"passed","Tue Jul 26 20:44:30 CST 2022","Tue Jul 26 20:44:36 CST 2022","5179","package_pytest","test_operate_app","TestH7131","","","test_out_app_home[26-500]",""
"passed","Tue Jul 26 20:21:47 CST 2022","Tue Jul 26 20:21:50 CST 2022","3315","package_pytest","test_operate_app","TestH7131","","","test_on_light[15-500]",""
